scenario_number,event_sequence,frequency,prevalence,tied_modal,terminology
3,low_motion -> acceleration -> crossing_commitment -> acceleration -> crossing_commitment -> acceleration -> crossing_commitment -> acceleration -> crossing_commitment -> acceleration -> possible_yielding -> crossing_commitment -> possible_yielding -> crossing_commitment -> deceleration -> acceleration -> crossing_commitment -> acceleration -> crossing_commitment -> deceleration -> low_motion,1,0.038461538461538464,True,most frequent observed sequence
3,head_check -> acceleration -> crossing_commitment -> acceleration -> possible_hesitation -> low_motion -> possible_hesitation -> low_motion -> acceleration -> low_motion -> head_check -> acceleration -> head_check -> acceleration -> possible_yielding -> crossing_commitment -> possible_yielding -> crossing_commitment -> acceleration -> crossing_commitment -> acceleration -> crossing_commitment -> head_check -> crossing_commitment -> deceleration -> acceleration -> deceleration -> crossing_commitment -> acceleration,1,0.038461538461538464,True,most frequent observed sequence
3,head_check -> low_motion -> acceleration -> crossing_commitment -> acceleration -> crossing_commitment -> deceleration -> head_check -> low_motion -> possible_hesitation -> head_check -> low_motion -> acceleration -> crossing_commitment -> acceleration -> crossing_commitment -> possible_yielding -> acceleration -> possible_yielding -> low_motion -> acceleration -> head_check -> acceleration -> crossing_commitment -> deceleration -> acceleration -> deceleration -> low_motion,1,0.038461538461538464,True,most frequent observed sequence
3,low_motion -> acceleration -> low_motion -> acceleration -> crossing_commitment -> deceleration -> crossing_commitment -> acceleration -> crossing_commitment -> acceleration -> crossing_commitment -> deceleration -> acceleration -> possible_yielding -> crossing_commitment -> possible_yielding -> crossing_commitment -> deceleration -> low_motion,1,0.038461538461538464,True,most frequent observed sequence
3,low_motion -> acceleration -> low_motion -> acceleration -> low_motion -> acceleration -> crossing_commitment -> deceleration -> low_motion -> acceleration -> crossing_commitment -> possible_yielding -> deceleration -> crossing_commitment -> low_motion -> acceleration -> crossing_commitment -> acceleration -> crossing_commitment -> acceleration -> crossing_commitment -> acceleration -> crossing_commitment -> deceleration -> crossing_commitment -> acceleration -> crossing_commitment -> acceleration -> crossing_commitment -> deceleration -> low_motion,1,0.038461538461538464,True,most frequent observed sequence
3,low_motion -> acceleration -> low_motion -> acceleration -> crossing_commitment -> possible_yielding -> crossing_commitment -> possible_yielding -> acceleration -> crossing_commitment -> acceleration -> crossing_commitment -> acceleration -> crossing_commitment -> acceleration -> head_check -> acceleration -> crossing_commitment -> acceleration -> crossing_commitment -> acceleration -> crossing_commitment -> deceleration -> acceleration -> crossing_commitment -> deceleration,1,0.038461538461538464,True,most frequent observed sequence
3,low_motion -> acceleration -> possible_hesitation -> acceleration -> possible_hesitation -> low_motion -> acceleration -> crossing_commitment -> acceleration -> head_check -> crossing_commitment -> deceleration -> acceleration -> crossing_commitment -> acceleration -> crossing_commitment -> acceleration -> possible_yielding -> crossing_commitment -> possible_yielding -> crossing_commitment -> deceleration -> acceleration -> crossing_commitment -> low_motion,1,0.038461538461538464,True,most frequent observed sequence
3,low_motion -> head_check -> acceleration -> crossing_commitment -> acceleration -> deceleration -> head_check -> low_motion -> acceleration -> crossing_commitment -> deceleration -> acceleration -> crossing_commitment -> deceleration -> low_motion -> acceleration -> crossing_commitment -> possible_yielding -> crossing_commitment -> deceleration -> crossing_commitment -> deceleration -> acceleration -> crossing_commitment -> low_motion -> acceleration -> crossing_commitment -> low_motion,1,0.038461538461538464,True,most frequent observed sequence
3,head_check -> low_motion -> head_check -> low_motion -> head_check -> low_motion -> acceleration -> crossing_commitment -> possible_yielding -> acceleration -> crossing_commitment -> acceleration -> crossing_commitment -> acceleration -> crossing_commitment -> deceleration -> acceleration -> deceleration -> crossing_commitment -> deceleration -> low_motion,1,0.038461538461538464,True,most frequent observed sequence
3,low_motion -> head_check -> low_motion -> possible_hesitation -> acceleration -> low_motion -> head_check -> deceleration -> head_check -> low_motion -> acceleration -> crossing_commitment -> acceleration -> crossing_commitment -> deceleration -> possible_yielding -> crossing_commitment -> acceleration -> possible_yielding -> head_check -> acceleration -> crossing_commitment -> acceleration -> crossing_commitment -> acceleration -> crossing_commitment -> deceleration -> crossing_commitment -> deceleration -> low_motion,1,0.038461538461538464,True,most frequent observed sequence
